"","year","month","day","PPT.clean"
"1","2008","07","03",0.113709324493035
"2","2008","07","04",1.55188432373219
"3","2008","07","05",1.6637617643767
"4","2008","07","06",1.59384658562645
"5","2008","07","07",1.44846736390408
"6","2008","07","08",1.44463598240363
"7","2008","07","09",1.45144422155478
"8","2008","07","10",1.46688958146773
"9","2008","07","11",1.48890169408107
"10","2008","07","12",1.51526808036391
"11","2008","07","13",1.54296766546924
"12","2008","07","14",1.56776577612654
"13","2008","07","15",1.58690408550717
"14","2008","07","16",1.59845228689882
"15","2008","07","17",1.60037664574271
"16","2008","07","18",1.59069905253686
"17","2008","07","19",1.56794370628925
"18","2008","07","20",1.53322497575502
"19","2008","07","21",1.48942607801911
"20","2008","07","22",1.43968330574284
"21","2008","07","23",1.38856868101999
"22","2008","07","24",1.34169789805715
"23","2008","07","25",1.30454667960382
"24","2008","07","26",1.28155684059917
"25","2008","07","27",1.35439171441448
"26","2008","07","28",1.35209084683244
"27","2008","07","29",1.33214514061844
"28","2008","07","30",1.55221477732281
"29","2008","07","31",1.37012769428898
"30","2008","08","01",1.60330381357744
"31","2008","08","02",1.33196843859494
"32","2008","08","03",1.43452264695612
"33","2008","08","04",1.43385788579672
"34","2008","08","05",1.42347266872933
"35","2008","08","06",1.4053475863608
"36","2008","08","07",1.38444590148848
"37","2008","08","08",1.36794837903464
"38","2008","08","09",1.39960998492945
"39","2008","08","10",1.37987544090278
"40","2008","08","11",1.57710426233448
"41","2008","08","12",1.42343984499854
"42","2008","08","13",1.47118085324256
"43","2008","08","14",1.52913973769527
"44","2008","08","15",1.59045909902826
"45","2008","08","16",1.6499117797944
"46","2008","08","17",1.7018083370069
"47","2008","08","18",1.78390240480737
"48","2008","08","19",1.76103566742288
"49","2008","08","20",7.99983981873073
"50","2008","08","21",2.29489111409386
"51","2008","08","22",1.79970511757552
"52","2008","08","23",1.83854755188193
"53","2008","08","24",1.9423577271242
"54","2008","08","25",3.52380728181827
"55","2008","08","26",1.80818963407431
"56","2008","08","27",2.28221643227934
"57","2008","08","28",2.02289083213247
